Country,Age,Occupation,Education_Level,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Depression_Score,Anxiety_Score,Stress_Level,Time_Spent_With_Family_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Self_Reported_Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score
Mexico,46,Teacher,Bachelor's,42430.59,10.71,78,2.99,0.93,1.75,1.75,-0.22,6.95,1.13,12.04,21.29,71.76,24.26,2.32,4G,Xiaomi,Yes,Moderate,27.48,Yes,16,156,56.81
Mexico,52,Unemployed,None,30654.12,3.6,95,2.75,1.28,1.38,0.73,2.9,5.69,1.13,84.3,20.5,69.44,58.85,0.75,WiFi,Apple,No,High,21.13,No,11,88,24.96
Brazil,34,Engineer,Master's,16040.73,9.49,84,1.44,1.83,4.36,2.03,0.58,5.52,0.47,9.74,31.68,30.64,7.04,1.44,4G,Apple,Yes,Moderate,39.73,Yes,19,62,69.51
Russia,21,Manager,High School,15756.2,4.12,56,4.09,1.64,1.94,2.08,4.3,6.02,0.03,45.59,78.44,48.75,14,1.06,4G,OnePlus,Yes,High,19.13,No,16,127,93.08
USA,12,Student,PhD,13477.15,3.46,83,1.71,0.59,2.48,1.71,3.49,5.99,1.13,85.23,16.72,80.99,87.53,1.45,WiFi,OnePlus,No,Severe,29.93,No,15,113,19.94
USA,25,Engineer,Master's,17222.09,8.23,83,2.13,0.94,0.7,2,1.44,7.14,1,81.08,74.11,0.37,54.77,1.19,5G,Samsung,No,Severe,25.55,Yes,15,87,61.08
Brazil,70,Manager,Bachelor's,40472.69,7.67,64,1.81,0.85,0.48,1.3,1.3,6.46,1.13,45.27,64.88,70.76,50.26,1.85,3G,Xiaomi,No,Moderate,29.56,No,8,103,57.5
Brazil,68,Doctor,PhD,29236.15,5.04,108,1.45,1.09,2.9,1.95,1.21,5.71,1.88,91.63,64.35,63.63,63.81,0.74,5G,OnePlus,Yes,Moderate,26.63,Yes,14,82,81.89
India,30,Doctor,Master's,38952.94,8.17,93,2.75,1.38,2.45,1.24,3.14,7.74,0.39,26.36,72.9,82.81,99.37,0.16,4G,OnePlus,Yes,Moderate,29.78,No,18,115,28.47
Germany,14,Engineer,PhD,29367.58,1.88,45,1.63,1.37,1.12,1.6,2.78,6.31,1.21,24.77,11.96,65.95,34.9,1.72,WiFi,Samsung,Yes,Moderate,18.94,Yes,15,116,37.98
Germany,23,Student,None,27134.06,3.4,81,1.37,1.81,1.5,1.48,1.49,6.33,1.38,67.11,31.31,8.04,58.76,1.94,WiFi,Samsung,Yes,High,26.7,Yes,13,82,77.26
Japan,50,Manager,Bachelor's,24004.76,5.06,107,3.04,0.24,3.53,1.33,2.59,7.78,1.69,53.45,41.06,16.67,42.52,0.59,3G,Xiaomi,Yes,Severe,13.72,No,19,41,61.51
Russia,17,Student,PhD,44748.63,6.05,101,1.59,1.69,1.66,1.9,1,7.19,1.11,15.86,84.83,30.41,66.44,1.3,WiFi,Apple,Yes,Moderate,29.53,No,11,133,49.5
Germany,48,Unemployed,PhD,39438.36,6.48,92,0.79,0.02,2.08,1.02,3.13,7.5,0.58,18.7,62.07,85.93,64.58,2.71,3G,Samsung,No,Moderate,19.12,No,16,173,45.67
Germany,63,Student,PhD,27656.89,3.98,109,0.94,1.21,2.56,1.63,2.15,6.6,0.76,78.16,74.9,41.55,4.43,1.66,WiFi,Xiaomi,No,Low,31.51,No,13,78,46.89
Germany,21,Salesperson,None,18164.18,6.99,106,2.73,0.44,1.77,1.22,2.45,4.95,0.91,0.38,3.59,87.11,47.37,1.63,4G,Huawei,No,Severe,34.74,Yes,8,53,25.95
China,63,Manager,Master's,21070.01,5.57,105,-0.31,1.77,0.87,1.93,2.87,7.82,1.07,89.88,91.64,87.9,16.82,2.73,5G,Other,Yes,Severe,28.46,No,11,62,66.94
China,16,Engineer,None,20574.38,10.26,55,1.85,2.37,3.28,2.18,1.79,7.38,1.96,48.17,46.01,45.04,18.69,0.81,WiFi,Xiaomi,Yes,High,14.78,Yes,14,153,24.57
Nigeria,44,Engineer,Master's,23079.06,8.08,52,0.6,1.25,3.93,1.53,0.53,6.26,-0.27,9.48,50.49,36.3,13.09,1.22,3G,Huawei,No,Moderate,23.27,No,20,147,70.77
China,22,Doctor,Master's,39961.76,6.22,83,2.53,0.79,3.23,2.03,1.75,6.12,1.63,18.23,71.82,85.79,47.55,2.22,5G,OnePlus,No,Severe,24.15,Yes,15,83,64
Brazil,66,Unemployed,Master's,55063.55,5.47,58,2.15,1.99,2.45,1.65,0.19,6.56,1.34,55.44,95.42,75.56,79.12,0.09,5G,Xiaomi,No,Severe,10.28,No,14,103,66.69
Mexico,66,Manager,Bachelor's,178.12,8.82,76,1.03,2.82,2,2.43,2.34,6.43,0.64,45.38,55.83,86.48,48.06,2.73,5G,Apple,No,Moderate,22.26,No,16,98,74.36
India,45,Salesperson,Master's,36522.26,4.58,89,2.6,2.12,1.48,0.52,0.58,7.01,0.9,47.82,6,7.32,28.73,0.36,3G,Xiaomi,Yes,Low,30.19,Yes,8,133,66.47
Russia,19,Salesperson,None,19949.92,2.92,69,2.58,0.66,2.48,0.62,2.28,7.4,0.33,63.65,73.2,90.04,52.72,-0.37,4G,Samsung,No,Low,13.35,No,20,91,41.88
UK,18,Teacher,Master's,22295.43,9.57,82,2.31,2.39,0.9,1.81,2.2,6.03,1.01,88.03,53.81,91.56,60.99,1.96,3G,Other,No,High,25.28,Yes,8,101,40.14
Japan,20,Artist,Bachelor's,26545.74,3.07,94,1.34,1.88,4.27,1.98,1.34,7.06,0.63,86.53,29.48,52.76,17.53,0.66,WiFi,Other,Yes,Moderate,34.87,No,15,79,47.79
Russia,39,Unemployed,None,41690.76,7.05,71,1.55,0.6,0.34,1.45,2.28,6.07,0.42,30.68,39.6,10.24,35.83,1.65,4G,Apple,Yes,Severe,45.14,No,18,93,95.53
Russia,20,Salesperson,Master's,48789.08,4.87,111,1.61,4.19,0.69,1.02,1.18,6.47,0.9,56.8,53.49,77.31,45.41,0.05,3G,Huawei,No,High,20.82,No,16,68,16.84
Russia,33,Engineer,None,36931.46,4.43,59,2.37,0.01,0.91,1.58,1,6.01,1.68,2.02,34.3,66.75,8.98,-0.19,3G,Apple,Yes,High,31.44,No,10,86,90.54
UK,20,Artist,High School,18914.52,6.88,100,1.79,2.03,2.24,1.44,2.04,7.01,0.83,65.52,11.63,81.99,16.32,-0.4,4G,Samsung,Yes,High,42.19,No,15,91,83.64
China,32,Engineer,None,59172.98,4.24,108,1.58,1.46,2.74,1.84,2.34,6.89,1.44,73.2,18.67,55.89,49.83,1.34,5G,OnePlus,Yes,Severe,16.22,No,17,121,70.03
USA,56,Doctor,Bachelor's,45165.85,2.36,61,1.54,-0.26,2.01,1.86,3,4.1,0.74,3.39,87.39,25.48,9.91,1.38,5G,Other,No,Severe,17.73,Yes,20,68,20.86
Japan,19,Teacher,Bachelor's,28782.77,6.94,55,3.99,1.52,1.96,0.09,1.33,7.94,0.44,7.73,69.01,75.79,36.77,1.53,5G,Samsung,No,Low,10.57,No,10,88,44.88
Nigeria,48,Doctor,Bachelor's,42481.26,9.5,65,1.97,0.47,1.9,0.6,2.34,7.5,1.32,21.65,34.22,77.75,10.26,2.06,5G,Samsung,Yes,Low,18.92,No,16,105,17.02
USA,29,Engineer,Bachelor's,35281.99,6.25,100,0.78,0.4,2.25,2.07,2.37,6.8,1.03,50.54,40.65,0.26,19.37,2.19,3G,OnePlus,No,Severe,28,Yes,20,107,65.09
UK,42,Manager,None,50097.66,7.16,77,0.97,3.24,3.09,2.86,1.26,5.98,2.08,22.93,79.87,71.1,65.36,1.69,5G,Xiaomi,No,Severe,3.18,No,17,73,13.01
Russia,50,Unemployed,Bachelor's,17051.22,0.07,77,2.15,2.49,1.06,1.07,1.29,4.42,1.05,73.14,88.66,10.02,24.64,0.36,3G,Samsung,No,Moderate,19.03,Yes,12,73,91.42
India,67,Unemployed,High School,-88.09,8.96,82,0.18,0.95,1.28,1.13,2.44,7.34,0.27,62,19.73,40.18,33.5,1.2,WiFi,Apple,Yes,Moderate,39.47,Yes,20,21,4.16
China,61,Doctor,PhD,60750.51,5.7,69,1.3,1.04,2,1.92,0.86,7.44,1.15,96.93,71.31,36.34,48.45,2.01,4G,Xiaomi,Yes,High,6.32,No,18,147,7.4
China,56,Manager,PhD,14905.35,5.57,91,1.22,2.76,3.61,1.17,2.89,5.15,0.26,7.8,86.49,6.63,38.68,1.35,3G,Xiaomi,Yes,High,14.7,No,20,179,2.04
Mexico,24,Teacher,None,15633.17,6.52,64,0.82,0.62,2.22,1.67,1.77,6.42,0.56,21.8,16.08,88.7,63.65,1.75,5G,Other,No,Low,27.89,No,17,105,62.32
UK,54,Manager,Master's,37229.48,6.04,108,2.03,1.54,2.34,1.55,0.94,6.11,0.94,45.37,51.58,14.62,86.83,1.33,5G,OnePlus,No,High,18.52,No,15,104,0.97
Brazil,18,Student,PhD,36604.21,4.76,70,3.6,2.6,3,1.87,3.74,5.31,1.13,75.85,85.56,93.87,1.57,0.31,WiFi,Huawei,Yes,High,39.59,No,19,50,65.84
Germany,14,Student,PhD,14660.44,7.07,83,1.44,1.46,5.12,0.21,0.78,7.31,1.09,58.18,22.85,10.25,29.73,1.51,3G,Other,No,Severe,47.03,Yes,16,76,89.8
Germany,43,Doctor,Master's,42262.24,6.38,70,2.81,1.24,3.18,1.78,3.23,7.06,0.46,10.56,68.32,79.93,98.91,1.34,WiFi,Other,No,High,21.89,Yes,16,79,44.54
Brazil,59,Manager,None,44604.51,7.44,28,1.34,1.57,1.29,1.15,3.62,7.37,0.87,97.25,14.32,12.91,17.95,1.41,5G,OnePlus,No,Severe,25.62,Yes,10,53,10.57
Mexico,46,Unemployed,PhD,62667.3,8.35,72,2.37,0.12,1.62,1.67,1,5.93,1.18,89.14,41.13,91,92.36,3.8,5G,Huawei,No,Low,43.15,No,9,120,31.83
Germany,15,Artist,PhD,17792.9,8.06,118,3.1,2.12,1.27,1.14,2.62,5.61,1.2,50.2,29.82,58.47,6.41,0.54,3G,Other,Yes,High,25.39,Yes,18,105,63.87
Brazil,19,Artist,Master's,33536.12,7.27,85,4.79,0.65,1.52,1.41,1.39,6.45,0.92,1.76,20.22,92.31,95.99,1.82,5G,Huawei,Yes,Severe,40.19,Yes,15,157,76.49
Mexico,56,Student,Bachelor's,25136.78,3.67,80,1.23,0.54,1.77,1.9,2.24,5.26,0.88,30.28,21.89,11.4,27.91,1.28,3G,Samsung,Yes,Severe,28.28,Yes,19,111,74.01
Nigeria,30,Artist,Master's,46308.06,2.7,64,2.35,1.43,2.84,1.73,1.91,6.37,0.55,46.13,9.81,4.31,41.54,0.73,5G,Huawei,Yes,High,3.75,No,16,123,6.9
Nigeria,61,Teacher,PhD,44261.24,8.4,53,1.04,1.43,3.49,1.88,1.14,7.35,0.93,48.15,57.18,26.57,55.4,0.86,WiFi,Xiaomi,No,Moderate,22.47,No,8,116,43.03
Germany,23,Engineer,PhD,33378.23,4.6,100,2.96,-0.51,2.75,1.18,3.7,4.8,0.64,44.85,46.73,97.04,73.02,2.36,4G,Samsung,Yes,Severe,28.46,Yes,8,133,43.94
India,53,Engineer,High School,26639.2,4.92,86,2.37,0.75,2.87,1.5,1.74,7.76,0.84,67.93,91.07,68.56,94.97,0.46,3G,Apple,Yes,High,20.93,Yes,17,143,94.72
India,38,Salesperson,Bachelor's,26079.73,5.55,66,2.85,0.47,2.2,1.17,2.47,5.74,1.49,90.93,20.2,54.03,47.93,1.66,4G,Huawei,No,Low,28.92,No,11,160,21.02
Germany,20,Salesperson,Master's,68008.82,5.98,81,2.73,1.08,1.14,0.77,1.75,5.86,-0.47,29.94,48.44,12.05,44.16,2.19,WiFi,Apple,No,Moderate,39.82,Yes,8,48,10.79
Mexico,19,Doctor,PhD,22862.86,6.99,89,3.19,2.73,0.31,1.06,2.14,6.74,1.28,91.77,77,38.38,27.42,2.11,WiFi,Other,No,Moderate,27.42,Yes,13,122,4.98
Brazil,59,Student,Master's,8481.92,7.67,56,2.59,1.69,2.14,1.97,1.61,5.74,1.09,84.93,91.26,40.57,86.57,0.91,5G,Apple,No,Severe,30.51,No,11,56,38.31
Russia,32,Manager,PhD,24931.57,6.66,63,3.22,2.73,-0.2,1.81,0.36,8.6,0.62,42.15,10.92,98.18,88.84,0.02,4G,Other,Yes,Low,17.63,Yes,13,46,22.51
USA,47,Salesperson,PhD,39575.58,5.02,77,1.52,3.03,2.68,2.11,-0.01,5.57,-0.08,64.88,5.74,36.9,89.86,0.01,5G,Apple,Yes,Moderate,34.86,No,15,108,65.57
Japan,18,Manager,None,19354.88,6.03,81,3.28,1,1.52,1.05,2,7.45,0.78,10.38,29.31,31.91,30.73,1.41,4G,OnePlus,No,Low,38.59,Yes,9,49,20.43
Nigeria,35,Teacher,High School,16237.5,6.18,90,1.63,1.9,2.94,1.3,0.51,6.74,0.75,88.94,89.86,3.72,0.83,2.88,3G,OnePlus,No,High,33.78,Yes,11,144,75.41
Brazil,36,Salesperson,None,32389.84,4.64,85,1.95,1.91,1.3,1,0.73,6.85,1.13,1.18,52.3,62.72,96.09,1.6,5G,Apple,No,Moderate,22.88,Yes,15,100,3.25
Japan,57,Engineer,PhD,33560.67,2.55,128,3.44,0.48,3.11,0.87,2.55,6.01,0.74,80.08,86.66,58.11,77.88,2.04,5G,OnePlus,Yes,Severe,18.79,No,18,37,56.42
Mexico,44,Manager,None,17041.75,4.39,73,1.53,1.42,2.57,2.34,0.63,5.65,0.55,1.84,47.15,0.44,53.46,2.31,5G,Huawei,No,High,33.41,No,13,45,55.17
India,59,Manager,High School,21095.48,7.93,116,2.81,2.33,2.04,2.05,1.59,5.37,1.83,23.81,25.4,86.06,59.59,0.16,5G,Xiaomi,Yes,Moderate,37.38,Yes,19,100,3.16
Nigeria,33,Manager,High School,38924.58,4.31,67,1.13,0.6,1.32,2.07,1.93,6.83,0.94,87.92,71.18,60.75,81.32,-0.39,4G,Other,No,Low,14.9,Yes,13,116,72.51
Nigeria,36,Student,Bachelor's,4669.47,4.53,83,2.94,2.68,1.78,2.65,1.91,7.2,1.1,50.63,30.56,38.46,72.99,1.17,4G,Huawei,No,High,17.49,No,13,64,67.84
Mexico,66,Student,High School,25185.83,3,77,-0.07,0.47,2.61,1.28,2.21,7.69,1.14,50.03,91.47,18.93,13.38,1.19,WiFi,Samsung,No,Moderate,32.34,No,8,38,81.63
Brazil,57,Manager,Bachelor's,18381.33,5.05,76,2.6,0.67,3.72,1.9,2.01,5.41,0.96,93.16,13.45,11.82,64.09,0.96,5G,Huawei,No,Low,20.03,Yes,17,68,39.38
Japan,65,Student,PhD,32134.82,7.63,45,1.54,0.94,3.08,1.23,-0.79,6.99,1.21,95.73,5.34,56.31,47.39,0.13,WiFi,Xiaomi,Yes,Moderate,11.3,Yes,14,101,15.12
Russia,39,Doctor,None,38933.18,7.94,76,0.51,1.48,1.3,1.83,1.81,6.57,1.68,39.59,7.01,24.9,13.15,1.34,3G,Samsung,No,Low,7.9,No,19,114,44.88
USA,60,Artist,PhD,5940.87,3.77,60,0.82,0.97,2.07,0.93,2.29,8.1,1.3,78.78,18.09,97.88,67.62,1.91,WiFi,Apple,No,Severe,31.48,Yes,14,42,27.66
USA,52,Student,Bachelor's,17872.79,9,123,2.59,2.75,2.82,2.16,2.3,7.15,1.18,44.23,38.26,6.44,7.5,1.02,WiFi,Samsung,Yes,Severe,42.87,No,9,76,69.66
China,64,Artist,None,9087.55,6.1,47,3.86,1.98,2.58,1.01,3.03,5.46,1.18,96.07,5.95,45.41,14.13,1.16,WiFi,Apple,No,Low,17.99,Yes,8,130,51.14
USA,49,Salesperson,None,34644.59,9.25,58,1.51,2.69,1.6,1.43,2.01,7.67,1.16,39.44,33.62,23.49,48.94,4.06,4G,Xiaomi,Yes,Moderate,28.57,No,20,58,94.19
Russia,47,Doctor,High School,58000.49,7.35,52,1.79,2.35,0.16,2.07,0.77,7.36,0.76,59.85,71.09,0.96,92.96,2.66,3G,Other,Yes,High,36.89,Yes,13,64,42.13
Russia,21,Student,PhD,25565.4,5.78,46,1.8,1.85,1.86,2.34,3.72,5.6,0.75,60.62,70.81,14.94,69.5,1.17,5G,Huawei,Yes,High,42.62,Yes,10,113,90.32
Mexico,32,Doctor,None,45705.05,4.04,68,0.36,2.97,2.7,1.13,0.05,8.46,0.39,0.44,67.2,91.2,39.28,1.99,3G,Huawei,Yes,Moderate,15.67,No,9,55,68.87
Brazil,67,Doctor,None,4185.11,6.09,93,1.11,0.89,1.2,1.63,1.74,5.87,1.71,16.23,16.08,61.93,57.74,0.14,5G,Other,Yes,Moderate,26.89,No,16,84,7.37
Mexico,43,Unemployed,Bachelor's,62458.64,3.38,80,0.95,2.62,4.06,1.43,1.37,6.43,0.58,50.63,69.93,84.55,76.09,2.07,5G,Samsung,No,Moderate,20.48,Yes,10,123,22.47
Nigeria,57,Engineer,High School,59856.18,6.15,56,1.84,2.38,4.27,1.53,1.24,6.37,-0.07,14.56,29.18,78.13,10.71,1.14,3G,Samsung,No,Moderate,18.63,Yes,15,34,47.85
Nigeria,48,Doctor,High School,40129.01,4.95,63,2.38,1.77,1.2,0.82,-0.7,6.78,1.18,24.06,71.35,91.38,64.92,1.58,3G,Samsung,Yes,Moderate,2.46,No,17,64,66.73
Russia,20,Artist,High School,35289.55,7.29,102,3.19,3.81,0.06,0.97,1.63,5.32,0.25,9.25,29.73,29.35,83.39,1.91,3G,Huawei,No,High,25.09,Yes,17,118,16.03
India,43,Student,PhD,40639.21,3.71,77,0.75,-0.28,0.6,1.87,3.28,4.76,0.43,66.26,37.8,28.34,9.21,1.15,WiFi,Xiaomi,Yes,Moderate,29.63,Yes,12,127,25.98
Nigeria,69,Student,Master's,28522.1,8.04,92,1.83,1.58,1.79,1.2,2,6.85,1.05,13.58,30.46,86.35,51.27,1.67,WiFi,Samsung,Yes,Severe,28.86,Yes,10,104,46.02
Germany,67,Salesperson,Bachelor's,50816.1,3.96,61,1.04,-0.58,2.03,0.96,1.52,6.72,1.6,64.7,69.14,57.5,3,0.39,WiFi,Xiaomi,Yes,Severe,31.13,Yes,13,101,68.26
USA,64,Manager,None,12939.69,5.63,54,2.3,0.77,4.15,1.77,1.88,5.67,-0.47,29.61,81.72,25.57,77.64,0.91,5G,Samsung,No,Low,27.47,No,19,82,24.2
India,39,Teacher,None,47465.14,7,110,2.31,1.01,1.5,1.27,0.62,5.96,1.4,54.12,62.73,51.34,36.11,1.93,5G,Samsung,No,Moderate,6.65,No,16,106,65.6
Russia,47,Unemployed,High School,24621.71,10.36,92,1.4,2.75,2.39,2.58,3.04,6.78,1.86,0.16,29.73,97.08,6.87,1.27,4G,Xiaomi,No,High,20.43,No,11,126,34.98
Mexico,17,Manager,None,39912.71,5.7,96,1.96,1.4,1.85,1.92,3.24,6.01,0.73,61.66,53.58,49.15,86.32,0.98,WiFi,Samsung,No,Moderate,28.31,No,13,103,39.91
USA,23,Teacher,None,45579.81,7.96,80,1.69,0.63,1.26,1.57,2.46,5.13,0.9,18.09,78.15,87.73,18.46,1.94,5G,Apple,Yes,Severe,31.96,Yes,19,98,21.86
Nigeria,55,Salesperson,High School,25801.99,4.78,51,1.96,-0.72,3.37,1.49,1.73,5.89,0.65,52.39,67.48,97.49,45.76,0.96,5G,Huawei,Yes,Moderate,5.43,No,15,32,96.93
Nigeria,37,Teacher,Master's,19763.87,4.16,84,1.72,0.56,1.28,1.12,1.4,6.26,1.04,55.63,41.93,78.51,87.03,0.85,3G,Xiaomi,Yes,Low,39.61,Yes,17,137,75.8
Germany,28,Teacher,Master's,34809.97,9.25,56,1.61,2.09,4.33,2.1,1.36,7.12,0.44,8.68,31.88,94.72,51.51,1.61,WiFi,Xiaomi,Yes,Moderate,16.72,Yes,8,66,32.37
Brazil,59,Doctor,PhD,36901.86,4.55,64,2.15,1.61,3.13,1.35,1.04,7.04,1.65,93.25,35.81,60.05,36.95,2.69,5G,OnePlus,Yes,Moderate,46.28,Yes,16,117,72.53
Mexico,70,Manager,Master's,27915.92,7.02,64,1.12,1.37,1.17,1.03,0.43,7.3,1.37,74.14,97.1,99.69,79.59,1.41,5G,Xiaomi,No,High,27.41,No,13,152,87.33
Russia,44,Teacher,High School,490.96,2.06,44,1.93,1.45,0.03,1.45,0.44,5.51,1.61,59.49,99.09,40.23,66.83,2.31,WiFi,Other,Yes,High,17.45,No,17,149,58.78
Brazil,21,Doctor,PhD,37970.95,3.71,38,3.14,2.75,2.82,1.11,3.66,6.36,0.31,2.06,32.74,84.9,47.53,0.93,WiFi,Samsung,No,Moderate,27.91,Yes,12,119,40.59
Germany,34,Artist,Bachelor's,27318.24,5.96,52,2.59,1.72,2.11,0.9,1.92,4.85,0.68,22.24,23.09,27.02,89.51,1.52,4G,Samsung,No,Severe,41.24,No,14,101,68.51
USA,54,Unemployed,None,36808.95,6.31,61,0.41,2.57,1.63,0.85,-0.93,7.14,0.53,40.41,25.45,49.19,6.02,2.31,3G,Samsung,Yes,Low,45.98,No,11,122,4.03
Russia,65,Teacher,High School,12682.37,6.05,85,3.54,3.33,1.86,2.2,1.38,6.36,0.26,80.69,52.14,67.33,34.99,0.11,5G,OnePlus,No,High,14.07,Yes,15,76,41.21
Japan,44,Artist,PhD,48610.9,3.65,41,2.27,0.81,0.86,1.89,2.16,6.01,0.51,19.4,78.19,82.7,98.38,2.12,WiFi,OnePlus,No,High,31.68,Yes,10,75,9.23
India,70,Artist,Bachelor's,29558.3,5.99,61,2.32,0.44,2.47,1.24,2.4,6.54,1.01,44.86,17.33,64.68,32.04,0.52,3G,Other,No,Low,28.96,Yes,12,130,31.27
USA,33,Student,None,11394.03,5.66,70,0.81,0.43,0.79,0.65,3.97,7.74,0.47,22.58,79.42,58.66,70.18,1.4,3G,OnePlus,Yes,Low,8.88,No,13,53,60.37
Brazil,21,Student,High School,24060.77,5.87,29,3.48,0.67,3.48,1.39,0.43,8.37,0.82,22.75,95.27,52.63,72.91,0.56,WiFi,Xiaomi,No,Severe,28.96,No,8,89,92.05
Russia,15,Engineer,High School,54775.78,6.27,78,1.16,1.68,2.17,0.01,2.35,7.53,1.22,2.61,97.13,88.3,65.4,3.14,WiFi,Samsung,No,High,20.51,No,17,119,22.87
Mexico,20,Student,None,26691.28,3.92,92,2.15,2.6,3.25,0.09,3.11,6.07,0.88,1.55,58.69,17.55,72.64,-0.11,WiFi,Other,Yes,High,15.76,No,15,114,38.28
Japan,69,Teacher,High School,54901.51,3.33,99,2.46,2.42,2.62,1.35,2.21,5.95,1.05,57.9,21.48,94.88,77.23,1.16,5G,Huawei,Yes,Moderate,17.27,Yes,13,123,40.36
Mexico,32,Engineer,Bachelor's,17973.79,9.08,57,2.24,-0.02,1.89,2.03,0.43,7.06,0.46,63.11,16.8,0.49,29.65,1.74,4G,Apple,Yes,Moderate,21.49,No,10,147,2.8
Mexico,50,Salesperson,High School,9967.3,5.58,134,2.09,3.51,3.78,1.19,2.28,5.93,1.03,80.27,99.74,89.05,75.46,2.11,WiFi,Huawei,Yes,Severe,32.68,Yes,19,105,13
Nigeria,56,Artist,PhD,162.87,4.58,91,3.03,1.41,3.58,1.17,0.22,6.8,0.92,33.12,49.43,71.79,0.41,-0.6,5G,Samsung,Yes,Severe,28.9,Yes,14,110,14.13
India,56,Artist,PhD,39104.63,5.55,91,2.31,0.56,1.15,1.98,2.63,7.31,1.14,30.95,74.79,95.11,18.25,1.35,3G,Huawei,No,Moderate,25.22,Yes,14,114,7.72
Germany,42,Artist,High School,16402.57,6.49,58,1.22,2.54,2.45,0.93,3.29,6.1,1.42,50.47,34.01,36.22,40.96,1.71,5G,Apple,No,Low,26.84,Yes,13,138,89.69
Germany,58,Salesperson,High School,42675.6,9.26,60,0.18,0.01,1.18,1.53,2.69,7.1,0.91,22.6,16.28,76.36,5.61,0.94,4G,Samsung,No,Moderate,32.65,Yes,11,72,54.76
Mexico,15,Engineer,PhD,14060.93,4.65,91,1.94,0.99,-0.79,0.59,0.4,6.72,1.35,6.18,57.34,43.64,69.74,1.72,5G,OnePlus,Yes,Severe,23.07,Yes,12,120,0.13
Brazil,16,Salesperson,High School,19551.26,8.17,70,2.06,2.82,1.76,1.74,0.38,6.17,0.71,61.22,41.08,99.2,75.01,2.02,3G,Apple,No,Low,17.63,Yes,12,105,5.22
Brazil,21,Student,PhD,13730.55,9.48,99,1.87,0.99,2.8,1.04,2.64,5.89,1.58,74.16,15.03,75.96,34.49,1.97,4G,Apple,Yes,Low,19.6,No,13,119,97.34
India,21,Doctor,Bachelor's,44724.8,6.13,106,2.93,1.48,2.48,0.83,2.8,8.26,0.85,53.32,29.4,7.05,59.25,1.1,WiFi,OnePlus,Yes,Moderate,7.57,Yes,9,42,14.37
UK,44,Salesperson,Bachelor's,27847.03,6,85,1.02,2.58,1.23,1.68,4.06,7.06,0.58,4.29,86.05,50.89,12.39,1.85,4G,Samsung,Yes,Moderate,27.36,No,16,105,56.47
Mexico,46,Teacher,PhD,38070.96,4.55,37,2.64,0.16,2.91,1.09,2.55,6.62,1.92,32.99,27.66,59.88,2.38,2.83,5G,Xiaomi,No,Low,34.05,No,10,128,94.21
India,25,Engineer,None,53592.72,1.88,54,2.42,1.16,3.45,1.41,1.6,6.16,0.39,81.3,83.86,33.72,55.19,1.65,5G,OnePlus,Yes,Moderate,38.6,No,20,86,22.95
India,15,Manager,None,38069.05,7.68,101,0.87,1.02,1.55,0.73,3.04,7.4,1.02,76.1,20.2,42.37,6.49,2.02,WiFi,Xiaomi,Yes,Severe,13.92,Yes,14,99,85.2
China,48,Artist,None,42775.18,7.34,46,1.85,-1.25,2.65,1.41,3.2,7.42,1.42,87.22,69.06,3.03,27.22,2.01,WiFi,Xiaomi,No,Severe,28.02,No,13,159,15.96
Japan,37,Teacher,High School,24826.87,7.85,113,2.09,1.89,1.08,1.23,2.28,7.5,1.62,12.18,84.47,79.56,13.64,1.56,5G,OnePlus,No,Low,36.11,No,19,-8,11.65
Mexico,53,Unemployed,Master's,51003.46,7.66,70,2.01,1.74,2.69,1.02,1.83,5.88,1.27,76.07,92.99,79.79,20.62,1,4G,Apple,No,Low,12.69,No,13,106,14.82
India,27,Engineer,None,41902.09,3.49,53,2.2,0.02,2.32,1.9,3.62,7.36,0.8,52.32,99.83,52.92,78.08,0.2,WiFi,OnePlus,No,Low,18.11,No,12,142,31.58
China,21,Student,High School,23117.07,5.97,92,1.88,2.97,2.61,1.74,3.24,6.78,1.37,63.93,8.76,36.8,80.31,-0.29,5G,Xiaomi,No,High,38.57,Yes,10,83,18.07
Mexico,50,Unemployed,None,35294.71,6.94,78,1.59,1.24,3.26,2.55,1.94,7.91,0.78,91.43,7.72,53.88,85.92,0.86,3G,Samsung,Yes,Low,20.94,Yes,9,181,25.03
Mexico,35,Salesperson,Bachelor's,21644.86,2.32,55,2.75,0.41,0.93,0.91,1.82,8.28,1.38,24.05,73.74,25.57,18.91,-0.09,5G,Other,Yes,Moderate,21.21,Yes,8,105,35.08
Brazil,36,Student,None,79829.55,6.09,61,2.16,1.36,1.66,1.62,1.88,4.96,0.66,51.94,80.5,79.75,32,1.21,WiFi,OnePlus,No,Moderate,28.35,No,13,95,12.79
Japan,39,Engineer,PhD,20892,7.24,87,2.4,0.68,1.02,1.26,1,6.19,2.05,34.87,0.72,82.3,48.81,1.47,5G,Other,Yes,Low,24.02,No,20,83,16.84
